data_id,book_id,chapter,verse,sanskrit,english
40001001,40,1,1,\u0907\u092c\u094d\u0930\u093e\u0939\u0940\u092e\u0903 \u0938\u0928\u094d\u0924\u093e\u0928\u094b \u0926\u093e\u092f\u0942\u0926\u094d \u0924\u0938\u094d\u092f \u0938\u0928\u094d\u0924\u093e\u0928\u094b \u092f\u0940\u0936\u0941\u0916\u094d\u0930\u0940\u0937\u094d\u091f\u0938\u094d\u0924\u0938\u094d\u092f \u092a\u0942\u0930\u094d\u0935\u094d\u0935\u092a\u0941\u0930\u0941\u0937\u0935\u0902\u0936\u0936\u094d\u0930\u0947\u0923\u0940\u0964 ,"The book of the generation of Jesus Christ, the son of David, the son of Abraham."
40001002,40,1,2,\u0907\u092c\u094d\u0930\u093e\u0939\u0940\u092e\u0903 \u092a\u0941\u0924\u094d\u0930 \u0907\u0938\u094d\u0939\u093e\u0915\u094d \u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u094b \u092f\u093e\u0915\u0942\u092c\u094d \u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u094b \u092f\u093f\u0939\u0942\u0926\u093e\u0938\u094d\u0924\u0938\u094d\u092f \u092d\u094d\u0930\u093e\u0924\u0930\u0936\u094d\u091a\u0964,Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
40001003,40,1,3,"\u0924\u0938\u094d\u092e\u093e\u0926\u094d \u092f\u093f\u0939\u0942\u0926\u093e\u0924\u0938\u094d\u0924\u093e\u092e\u0930\u094b \u0917\u0930\u094d\u092d\u0947 \u092a\u0947\u0930\u0938\u094d\u0938\u0947\u0930\u0939\u094c \u091c\u091c\u094d\u091e\u093e\u0924\u0947, \u0924\u0938\u094d\u092f \u092a\u0947\u0930\u0938\u0903 \u092a\u0941\u0924\u094d\u0930\u094b \u0939\u093f\u0937\u094d\u0930\u094b\u0923\u094d \u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u094b \u093d\u0930\u093e\u092e\u094d\u0964",And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
40001004,40,1,4,\u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u094b \u093d\u092e\u094d\u092e\u0940\u0928\u093e\u0926\u092c\u094d \u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u094b \u0928\u0939\u0936\u094b\u0928\u094d \u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u0903 \u0938\u0932\u094d\u092e\u094b\u0928\u094d\u0964,And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
40001005,40,1,5,"\u0924\u0938\u094d\u092e\u093e\u0926\u094d \u0930\u093e\u0939\u092c\u094b \u0917\u0930\u094d\u092d\u0947 \u092c\u094b\u092f\u092e\u094d \u091c\u091c\u094d\u091e\u0947, \u0924\u0938\u094d\u092e\u093e\u0926\u094d \u0930\u0942\u0924\u094b \u0917\u0930\u094d\u092d\u0947 \u0913\u092c\u0947\u0926\u094d \u091c\u091c\u094d\u091e\u0947, \u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u094b \u092f\u093f\u0936\u092f\u0903\u0964 ",And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
40001006,40,1,6,\u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u094b \u0926\u093e\u092f\u0942\u0926\u094d \u0930\u093e\u091c\u0903 \u0924\u0938\u094d\u092e\u093e\u0926\u094d \u092e\u0943\u0924\u094b\u0930\u093f\u092f\u0938\u094d\u092f \u091c\u093e\u092f\u093e\u092f\u093e\u0902 \u0938\u0941\u0932\u0947\u092e\u093e\u0928\u094d \u091c\u091c\u094d\u091e\u0947\u0964,And Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;
40001007,40,1,7,"\u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u094b \u0930\u093f\u0939\u092c\u093f\u092f\u093e\u092e\u094d, \u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930\u094b\u093d\u092c\u093f\u092f\u0903, \u0924\u0938\u094d\u092f \u092a\u0941\u0924\u094d\u0930 \u0906\u0938\u093e:\u0964",And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
40001008,40,1,8,\u0924\u0938\u094d\u092f \u0938\u0941\u0924\u094b \u092f\u093f\u0939\u094b\u0936\u093e\u092b\u091f\u094d \u0924\u0938\u094d\u092f \u0938\u0941\u0924\u094b \u092f\u093f\u0939\u094b\u0930\u093e\u092e \u0924\u0938\u094d\u092f \u0938\u0941\u0924 \u0909\u0937\u093f\u092f\u0903\u0964 ,And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
40001009,40,1,9,\u0924\u0938\u094d\u092f \u0938\u0941\u0924\u094b \u092f\u094b\u0925\u092e\u094d \u0924\u0938\u094d\u092f \u0938\u0941\u0924 \u0906\u0939\u092e\u094d \u0924\u0938\u094d\u092f \u0938\u0941\u0924\u094b \u0939\u093f\u0937\u094d\u0915\u093f\u092f\u0903\u0964 ,And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
40001010,40,1,10,"\u0924\u0938\u094d\u092f \u0938\u0941\u0924\u094b \u092e\u093f\u0928\u0936\u093f\u0903, \u0924\u0938\u094d\u092f \u0938\u0941\u0924 \u0906\u092e\u094b\u0928\u094d \u0924\u0938\u094d\u092f \u0938\u0941\u0924\u094b \u092f\u094b\u0936\u093f\u092f\u0903\u0964",And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;
40001011,40,1,11,\u092c\u093e\u092c\u093f\u0932\u094d\u0928\u0917\u0930\u0947 \u092a\u094d\u0930\u0935\u0938\u0928\u093e\u0924\u094d \u092a\u0942\u0930\u094d\u0935\u094d\u0935\u0902 \u0938 \u092f\u094b\u0936\u093f\u092f\u094b \u092f\u093f\u0916\u0928\u093f\u092f\u0902 \u0924\u0938\u094d\u092f \u092d\u094d\u0930\u093e\u0924\u0943\u0902\u0936\u094d\u091a \u091c\u0928\u092f\u093e\u092e\u093e\u0938\u0964,"And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:"
40001012,40,1,12,"\u0924\u0924\u094b \u092c\u093e\u092c\u093f\u0932\u093f \u092a\u094d\u0930\u0935\u0938\u0928\u0915\u093e\u0932\u0947 \u092f\u093f\u0916\u0928\u093f\u092f\u0903 \u0936\u0932\u094d\u0924\u0940\u092f\u0947\u0932\u0902 \u091c\u0928\u092f\u093e\u092e\u093e\u0938, \u0924\u0938\u094d\u092f \u0938\u0941\u0924\u0903 \u0938\u093f\u0930\u0941\u092c\u094d\u092c\u093e\u0935\u093f\u0932\u094d\u0964","And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;"
