id,SA,EN
c:1v1,\u0927\u0943\u0924\u0930\u093e\u0937\u094d\u091f\u094d\u0930 \u0909\u0935\u093e\u091a |\u0927\u0930\u094d\u092e\u0915\u094d\u0937\u0947\u0924\u094d\u0930\u0947 \u0915\u0941\u0930\u0941\u0915\u094d\u0937\u0947\u0924\u094d\u0930\u0947 \u0938\u092e\u0935\u0947\u0924\u093e \u092f\u0941\u092f\u0941\u0924\u094d\u0938\u0935\u0903 |\u092e\u093e\u092e\u0915\u093e\u0903 \u092a\u093e\u0923\u094d\u0921\u0935\u093e\u0936\u094d\u091a\u0948\u0935 \u0915\u093f\u092e\u0915\u0941\u0930\u094d\u0935\u0924 \u0938\u091e\u094d\u091c\u092f ||,"Dhritarashtra said: O Sanjay, after gathering on the holy field of Kurukshetra, and desiring to fight, what did my sons and the sons of Pandu do?"
c:1v2,\u0938\u091e\u094d\u091c\u092f \u0909\u0935\u093e\u091a \u0964\u0926\u0943\u0937\u094d\u091f\u094d\u0935\u093e \u0924\u0941 \u092a\u093e\u0923\u094d\u0921\u0935\u093e\u0928\u0940\u0915\u0902 \u0935\u094d\u092f\u0942\u0922\u0902 \u0926\u0941\u0930\u094d\u092f\u094b\u0927\u0928\u0938\u094d\u0924\u0926\u093e \u0964\u0906\u091a\u093e\u0930\u094d\u092f\u092e\u0941\u092a\u0938\u0919\u094d\u0917\u092e\u094d\u092f \u0930\u093e\u091c\u093e \u0935\u091a\u0928\u092e\u092c\u094d\u0930\u0935\u0940\u0924\u094d \u0964\u0964 \u0964\u0964,"Sanjay said: On observing the Pandava army standing in military formation, King Duryodhan approached his teacher Dronacharya, and said the following words."
c:1v3,\u092a\u0936\u094d\u092f\u0948\u0924\u093e\u0902 \u092a\u093e\u0923\u094d\u0921\u0941\u092a\u0941\u0924\u094d\u0930\u093e\u0923\u093e\u092e\u093e\u091a\u093e\u0930\u094d\u092f \u092e\u0939\u0924\u0940\u0902 \u091a\u092e\u0942\u092e\u094d \u0964\u0935\u094d\u092f\u0942\u0922\u093e\u0902 \u0926\u094d\u0930\u0941\u092a\u0926\u092a\u0941\u0924\u094d\u0930\u0947\u0923 \u0924\u0935 \u0936\u093f\u0937\u094d\u092f\u0947\u0923 \u0927\u0940\u092e\u0924\u093e \u0964\u0964 \u0964\u0964,"Duryodhan said: Respected teacher! Behold the mighty army of the sons of Pandu, so expertly arrayed for battle by your own gifted disciple, the son of Drupad."
c:1v4,\u0905\u0924\u094d\u0930 \u0936\u0942\u0930\u093e \u092e\u0939\u0947\u0937\u094d\u0935\u093e\u0938\u093e \u092d\u0940\u092e\u093e\u0930\u094d\u091c\u0941\u0928\u0938\u092e\u093e \u092f\u0941\u0927\u093f ,"Behold in their ranks are many powerful warriors, like Yuyudhan, Virat, and Drupad, wielding mighty bows and equal in military prowess to Bheem and Arjun. There are also accomplished heroes like Dhrishtaketu, Chekitan, the gallant King of Kashi, Purujit, Kuntibhoj, and Shaibya\u2014all the best of men. In their ranks, they also have the courageous Yudhamanyu, the gallant Uttamauja, the son of Subhadra, and the sons of Draupadi, who are all great warrior chiefs."
c:1v5,\u0905\u0924\u094d\u0930 \u0936\u0942\u0930\u093e \u092e\u0939\u0947\u0937\u094d\u0935\u093e\u0938\u093e \u092d\u0940\u092e\u093e\u0930\u094d\u091c\u0941\u0928\u0938\u092e\u093e \u092f\u0941\u0927\u093f ,"Behold in their ranks are many powerful warriors, like Yuyudhan, Virat, and Drupad, wielding mighty bows and equal in military prowess to Bheem and Arjun. There are also accomplished heroes like Dhrishtaketu, Chekitan, the gallant King of Kashi, Purujit, Kuntibhoj, and Shaibya\u2014all the best of men. In their ranks, they also have the courageous Yudhamanyu, the gallant Uttamauja, the son of Subhadra, and the sons of Draupadi, who are all great warrior chiefs."
c:1v6,\u0905\u0924\u094d\u0930 \u0936\u0942\u0930\u093e \u092e\u0939\u0947\u0937\u094d\u0935\u093e\u0938\u093e \u092d\u0940\u092e\u093e\u0930\u094d\u091c\u0941\u0928\u0938\u092e\u093e \u092f\u0941\u0927\u093f ,"Behold in their ranks are many powerful warriors, like Yuyudhan, Virat, and Drupad, wielding mighty bows and equal in military prowess to Bheem and Arjun. There are also accomplished heroes like Dhrishtaketu, Chekitan, the gallant King of Kashi, Purujit, Kuntibhoj, and Shaibya\u2014all the best of men. In their ranks, they also have the courageous Yudhamanyu, the gallant Uttamauja, the son of Subhadra, and the sons of Draupadi, who are all great warrior chiefs."
c:1v7,\u0905\u0938\u094d\u092e\u093e\u0915\u0902 \u0924\u0941 \u0935\u093f\u0936\u093f\u0937\u094d\u091f\u093e \u092f\u0947 \u0924\u093e\u0928\u094d\u0928\u093f\u092c\u094b\u0927 \u0926\u094d\u0935\u093f\u091c\u094b\u0924\u094d\u0924\u092e |\u0928\u093e\u092f\u0915\u093e \u092e\u092e \u0938\u0948\u0928\u094d\u092f\u0938\u094d\u092f \u0938\u0902\u091c\u094d\u091e\u093e\u0930\u094d\u0925\u0902 \u0924\u093e\u0928\u094d\u092c\u094d\u0930\u0935\u0940\u092e\u093f \u0924\u0947 || ,"O best of Brahmins, hear too about the principal generals on our side, who are especially qualified to lead. These I now recount unto you."
c:1v8,\u092d\u0935\u093e\u0928\u094d\u092d\u0940\u0937\u094d\u092e\u0936\u094d\u091a \u0915\u0930\u094d\u0923\u0936\u094d\u091a \u0915\u0943\u092a\u0936\u094d\u091a \u0938\u092e\u093f\u0924\u093f\u091e\u094d\u091c\u092f: |\u0905\u0936\u094d\u0935\u0924\u094d\u0925\u093e\u092e\u093e \u0935\u093f\u0915\u0930\u094d\u0923\u0936\u094d\u091a \u0938\u094c\u092e\u0926\u0924\u094d\u0924\u093f\u0938\u094d\u0924\u0925\u0948\u0935 \u091a || ,"There are personalities like yourself, Bheeshma, Karna, Kripa, Ashwatthama, Vikarn, and Bhurishrava, who are ever victorious in battle."
c:1v9,\u0905\u0928\u094d\u092f\u0947 \u091a \u092c\u0939\u0935: \u0936\u0942\u0930\u093e \u092e\u0926\u0930\u094d\u0925\u0947 \u0924\u094d\u092f\u0915\u094d\u0924\u091c\u0940\u0935\u093f\u0924\u093e: |,"Also, there are many other heroic warriors, who are prepared to lay down their lives for my sake. They are all skilled in the art of warfare, and equipped with various kinds of weapons."
c:1v10,\u0905\u092a\u0930\u094d\u092f\u093e\u092a\u094d\u0924\u0902 \u0924\u0926\u0938\u094d\u092e\u093e\u0915\u0902 \u092c\u0932\u0902 \u092d\u0940\u0937\u094d\u092e\u093e\u092d\u093f\u0930\u0915\u094d\u0937\u093f\u0924\u092e\u094d |,"The strength of our army is unlimited and we are safely marshalled by Grandsire Bheeshma, while the strength of the Pandava army, carefully marshalled by Bheem, is limited."
