English,Sanskrit
"Free software only","मुक्तस्तन्त्रांशः केवलम्"
"No files in archive","न सञ्चिका आगारे"
"Unknown font type","अज्ञातो वर्णालेखप्रकारः"
"Failed to load document","इत्यस्य लेखस्यारोपणं विफलम्"
"Failed to save document","इत्यस्त लेखस्य रक्षणं विफलम्"
"Not a launchable item","अप्रक्षेप्यं वस्तु"
"View multi-page documents","दर्श्यन्तामनेकपृष्ठा लेखाः"
"Preview before printing","मुद्रणात् पूर्वं दर्श्यताम्"
"Automatically reload the document","स्वतः पुनरारोप्यतां लेखः"
"The document is automatically reloaded on file change.","सञ्चिकायां परिवर्तितायां स्वतः पुनरारोप्यते लेखः"
"Preparing to print…","मुद्रणमिष्क्रियते..."
"Invalid page selection","अपुष्टं पृष्ठचयनम्"
"End of presentation. Click to exit.","प्रस्तुतिः समाप्ता। निर्गन्तुं नोद्यताम्।"
"Print this document","मुद्र्यतामयं लेखः"
"Number of Pages:","पृष्ठसङ्ख्या-"
"Initial window state:","आद्यचित्रायणावस्था-"
"Open a recently used document","उद्घाट्यतामेकः सद्यःप्रयुक्तो लेखः"
"This document is locked and can only be read by entering the correct password.","अयं लेखो निगृहीतः सम्यङ्कूटसङ्केते प्रविष्टे पठितुं शक्यते च।"
"The document is locked and requires a password before it can be opened.","इत्येष लेखो निगृहीत उद्घाटनाय कूटसङ्केतोऽपेक्ष्यते च।"
"Add text annotation","पाठ्यान्तर्लेखो योज्ताम्"
"Document contains no annotations","लेखे न सतेऽन्तर्लेखाः"
"The document contains no pages","लेखे न सन्ति पृष्ठानि"
"The document contains only empty pages","लेखे रिक्तानि पृष्ठानि केवलम्"
"Save a copy of document before closing?","अपि पिधानात् पूर्वं  इत्यस्य लेखस्य प्रतिकृती रक्ष्यताम्?"
"Adjust the zoom level","समायोज्यतां सर्पणस्तरः"
"Open an existing document","उद्घाट्यतां विद्यमानो लेखः"
"Find a word or phrase in the document","लेखे पाठ्यमन्विष्यताम्"
"Open a New Document","नवो लेख उद्घाट्यताम्"
"Save the file as plain text?","अपि सामान्यपाठ्यमिव रक्ष्यताम्?"
"_Save As Plain Text","सामान्यपाठ्यमिव रक्ष्यताम्"
"Open a file","सञ्चकोद्घाट्यताम्"
"Ln %d, Col %d","पङ्क्तिः %dतमा, स्तम्भः %dतमः"
"Save the current file","रक्ष्यतामियं सञ्चिका"
"Cut the selection","चयनं कर्त्यताम्"
"Search for text","पाठ्यमन्विष्यताम्"
"There are unsaved documents","एतेऽरक्षिता लेखाः"
"Untitled documents only","अशीर्षका लेखाः केवलम्"
"'e' to edit the commands before booting or `c' for a command-line. ESC to return previous menu.","चितां संविधां प्रवर्तयितुं प्रवेशकीलं नोद्यताम्, 'e' इतीदं प्रवर्तनात् पूर्वं समादेशान् सम्पादयितुम्, 'c' इतीदं च समादेशान्त्याय। ESC इतीदं च पूर्वसूच्यै।"
"Press enter to boot the selected OS, `e' to edit the commands before booting or `c' for a command-line.","चितां संविधां प्रवर्तयितुं प्रवेशकीलं नोद्यताम्, 'e' इतीदं प्रवर्तनात् पूर्वं समादेशान् सम्पादयितुम्, 'c' इतीदं च समादेशान्त्याय।"
"Where the menu is displayed.","यत्र सूचिर्दर्श्यते।"
"Controls the menu display location.","सूचिस्थानं चिकेति।"
"Unknown Application Name","अज्ञातमनुप्रयोगनाम"
"Time &amp; Date settings…","समयदिनाङ्कसंरूपणम्..."
"Date and Time","दिनाङकः समयश्च"
"Keyboard Layout Chart","कीलफलकविधानम्"
"Text Entry Settings...","पाठ्यनिवेशसंरूपणम्..."
"Show time in Menu Bar","सूचिशलाकायां समयो दर्श्यताम्"
"Show percentage in Menu Bar","सूचिशलाकायां प्रतिशतं दर्श्यताम्"
"When to show the battery status in the menu bar.","कदा दर्श्यतां विद्युत्कोशस्तरः सूचिशलाकायाम्।"
"Show Time in Menu Bar","सूचिशलाकायां समयो दर्श्यताम्"
"Show Percentage in Menu Bar","सूचिशलाकायां प्रतिशतं दर्श्यताम्"
"About This Computer","एतत्सङ्गणकविषये"
"No language information available","भाषा सूचना नोपलभ्यते"
"The system does not have information about the available languages yet. Do you want to perform a network update to get them now?","इदानीं संविधायां भाषानां सम्बन्धे सूचना न सन्ति। अपि जालनवीनीकरणेन प्राप्यन्तां ता अधुना?"
"The language support is not installed completely","भाषासमर्थनं न पूर्णतः प्रतिष्ठापितम्"
"Some translations or writing aids available for your chosen languages are not installed yet. Do you want to install them now?","चिताभ्यो भाषाभ्य उपलब्धानि कानिचिदनुवाद-लेखनसाहाय्यानि न प्रतिष्ठापितानि। अपि प्रतिष्ठाप्यन्तामिदानीं तानि?"
"Checking available language support The availability of translations or writing aids can differ between languages.","निरीक्ष्यत उपलब्धं भाषासमर्थनम्। अनुवादानां लेखनसाहाय्यानां चोपलभ्यता भिन्नासु भाषासु पृथक्पृथक्।"
"When a language is installed, individual users can choose it in their Language settings.","प्रतिष्ठापितायां भाषायां सा व्यक्तिगतरूपेण भाषासंरूपणे चेतुं शक्यते।"
"Language for menus and windows:","भाषा सूचिभ्यश्चित्रायणेभ्यश्च-"
